timestamp;duration;position;round
1643569354575;150.5075;0.2336239;1
1643569380351;21629.1913;0.3016063;1
1643569383974;2964.0452;0.3000017;1
1643569386822;937.557;0.3258848;1
1643569419752;433.0008;0.8396624;2
