pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643470751526,LeftFoot_Target,1.551109,0.1937028,0.03832547,7.52623,356.0609,2.465565,
0,1643470751649,LeftFoot_Target,1.552764,0.193096,0.03723734,7.77506,356.2197,2.645048,
0,1643470751749,LeftFoot_Target,1.552489,0.1919108,0.03812046,7.932765,356.4342,3.023465,
0,1643470751850,LeftFoot_Target,1.55128,0.1915856,0.03805916,8.266221,356.616,3.273105,
0,1643470751982,LeftFoot_Target,1.551206,0.1910599,0.03877467,8.419059,356.7494,3.53574,
0,1643470752088,LeftFoot_Target,1.550273,0.1905879,0.03857117,8.528732,356.7237,3.634079,
0,1643470752217,LeftFoot_Target,1.5511,0.1909104,0.03810175,8.635705,356.6776,3.784857,
0,1643470752316,LeftFoot_Target,1.552019,0.1897797,0.03854486,8.598668,356.7933,3.769644,
0,1643470752451,LeftFoot_Target,1.551212,0.1902577,0.0382257,8.591866,356.799,3.702873,
0,1643470752585,LeftFoot_Target,1.553479,0.188988,0.03824939,8.532993,356.8652,3.783301,
0,1643470752716,LeftFoot_Target,1.553738,0.1887026,0.03816743,8.552235,356.8669,3.904224,
0,1643470752849,LeftFoot_Target,1.553775,0.1884,0.03853904,8.588081,356.8177,4.050793,
0,1643470752982,LeftFoot_Target,1.553049,0.1884551,0.03823312,8.605204,356.7056,4.076262,
0,1643470753082,LeftFoot_Target,1.553584,0.187795,0.0379502,8.570646,356.5682,3.994403,
0,1643470753183,LeftFoot_Target,1.552947,0.1884384,0.03773657,8.61152,356.4793,3.962482,
0,1643470753283,LeftFoot_Target,1.553877,0.1869324,0.03752166,8.580967,356.3105,3.911988,
0,1643470753384,LeftFoot_Target,1.552655,0.1870575,0.03794698,8.448162,356.2958,4.062734,
0,1643470753518,LeftFoot_Target,1.553195,0.1868111,0.03707707,8.319445,356.2325,4.205472,
0,1643470753629,LeftFoot_Target,1.553979,0.1858812,0.03741488,8.259556,356.1935,4.150863,
0,1643470753737,LeftFoot_Target,1.554693,0.1858441,0.0368976,8.230706,356.0114,4.060776,
0,1643470753850,LeftFoot_Target,1.554665,0.185176,0.03669838,8.228901,355.9467,4.077577,
0,1643470753957,LeftFoot_Target,1.554499,0.1854279,0.03678617,8.227847,355.8643,4.07557,
0,1643470754069,LeftFoot_Target,1.55662,0.1853192,0.03753152,8.215986,355.8024,4.024165,
0,1643470754173,LeftFoot_Target,1.556848,0.1844602,0.03709745,8.184566,355.7425,4.030737,
0,1643470754274,LeftFoot_Target,1.556754,0.1844295,0.03719791,8.182538,355.7036,4.011038,
0,1643470754405,LeftFoot_Target,1.557274,0.1846089,0.03716589,8.155868,355.6983,3.897462,
0,1643470754507,LeftFoot_Target,1.557194,0.1846117,0.03708649,8.23246,355.6165,3.933207,
0,1643470754606,LeftFoot_Target,1.557536,0.1846177,0.0372111,8.343173,355.6435,3.902126,
0,1643470754741,LeftFoot_Target,1.557656,0.1845767,0.03690578,8.343933,355.6474,3.820183,
0,1643470754875,LeftFoot_Target,1.557165,0.1846885,0.0373317,8.274294,355.6411,3.742129,
0,1643470755004,LeftFoot_Target,1.557796,0.1845243,0.03763399,8.205111,355.6039,3.702701,
0,1643470755105,LeftFoot_Target,1.55843,0.1842643,0.0373347,8.265056,355.5958,3.740189,
0,1643470755238,LeftFoot_Target,1.558703,0.1834958,0.03741945,8.228106,355.5509,3.72466,
0,1643470755338,LeftFoot_Target,1.559295,0.1840651,0.03752959,8.212543,355.5375,3.652679,
0,1643470755449,LeftFoot_Target,1.558777,0.1843658,0.03738081,8.193902,355.4918,3.539052,
0,1643470755560,LeftFoot_Target,1.559001,0.1840467,0.03766242,8.237885,355.4811,3.434448,
0,1643470755672,LeftFoot_Target,1.558948,0.1843653,0.03774953,8.251171,355.5066,3.443477,
0,1643470755784,LeftFoot_Target,1.560346,0.1841836,0.03793235,8.217593,355.5282,3.392719,
0,1643470755894,LeftFoot_Target,1.559907,0.1833807,0.03760858,8.15269,355.533,3.433636,
0,1643470756005,LeftFoot_Target,1.55998,0.1840776,0.0380406,8.14865,355.5307,3.356797,
0,1643470756118,LeftFoot_Target,1.559369,0.184349,0.03782262,8.08417,355.5017,3.354841,
0,1643470756229,LeftFoot_Target,1.559827,0.1837162,0.0379356,8.004653,355.4979,3.32257,
0,1643470756337,LeftFoot_Target,1.561377,0.1838849,0.0383404,8.005887,355.526,3.229503,
0,1643470756438,LeftFoot_Target,1.560184,0.1836655,0.03766813,7.957352,355.4576,3.192346,
0,1643470756561,LeftFoot_Target,1.560123,0.1840643,0.03794697,7.946584,355.4005,3.160629,
0,1643470756694,LeftFoot_Target,1.561146,0.184081,0.0383307,7.952847,355.3947,3.132252,
0,1643470756794,LeftFoot_Target,1.560283,0.1837258,0.03741772,7.832314,355.3222,3.14975,
0,1643470756895,LeftFoot_Target,1.560393,0.1835596,0.0378144,7.825932,355.3069,3.099862,
0,1643470757026,LeftFoot_Target,1.560886,0.1839917,0.03778683,7.868424,355.2776,2.985293,
0,1643470757130,LeftFoot_Target,1.560977,0.1844247,0.03798915,7.825516,355.2997,2.871504,
0,1643470757262,LeftFoot_Target,1.559928,0.1844309,0.03775004,7.739393,355.2724,2.839732,
0,1643470757371,LeftFoot_Target,1.561344,0.1831861,0.03771744,7.690724,355.3164,2.910057,
0,1643470757483,LeftFoot_Target,1.56101,0.1838126,0.03805128,7.482701,355.3856,3.015229,
0,1643470757594,LeftFoot_Target,1.560416,0.1838481,0.03784162,7.573128,355.4133,2.968383,
0,1643470757707,LeftFoot_Target,1.560361,0.1841404,0.03763555,7.609203,355.3679,2.95923,
0,1643470757815,LeftFoot_Target,1.560872,0.1832828,0.03742114,7.748241,355.3602,2.916908,
0,1643470757927,LeftFoot_Target,1.560239,0.1840403,0.03790746,7.867211,355.3727,2.954377,
0,1643470758043,LeftFoot_Target,1.560925,0.1829185,0.03806143,7.931815,355.3894,3.000803,
0,1643470758151,LeftFoot_Target,1.560016,0.1837467,0.03785032,7.899782,355.3789,3.10357,
