,user_id,method,tide,lap,falls_num,duration,mean_drift_head,std_drift_head,mean_drift_pelvis,std_drift_pelvis,mean_alpha,std_alpha,mean_beta,std_beta
71,12,Gamification,HighTide,3,0,9.766,0.3000697185006728,0.2663961352354764,0.3695765031850379,0.2796760875816305,2.015943686585751,0.1596662179847162,0.22388475013350706,0.09905821879317593
72,13,NoInstructions,LowTide,0,1,26.651,0.7337007983149023,0.2604925409969255,0.8108903738329493,0.2890011571955192,1.5749434577908994,0.460096989839142,0.23897414847637613,0.1890087792477544
73,13,NoInstructions,LowTide,1,0,21.195,0.2763491414521157,0.11387395943391383,0.32920816615072196,0.17219339109168288,1.6606169356259095,0.3327957129323381,0.2634873169089756,0.12882129180168286
74,13,NoInstructions,LowTide,2,1,23.228,0.5000017113779492,0.31408074308246453,0.5453514054155663,0.3328167999477463,1.3840008925409473,0.1904403499104975,0.17051917931871605,0.0820603168076631
75,13,NoInstructions,LowTide,3,0,21.398,0.587084164181372,0.16891229972759106,0.6643729483402216,0.1811295868425389,1.5048217879531223,0.3348399964670764,0.17434759035134817,0.07001284001937538
76,13,NoInstructions,HighTide,0,0,20.42,0.6281471685976939,0.20841455253181368,0.6673127842878044,0.19738720188413234,1.6427994092064429,0.2294623242808881,0.15524980107703046,0.07708817747838465
77,13,NoInstructions,HighTide,1,0,12.035,0.38039797481031784,0.2300348659138168,0.5159282897233334,0.2536414555820847,1.5079840233397692,0.2905556805654913,0.24910020678919817,0.08305201841042192
78,13,NoInstructions,HighTide,2,1,15.971,0.34172094985157897,0.17680548495085283,0.3555631388097109,0.1708091213321861,1.4411069961467657,0.2035987863549953,0.2465531356810255,0.1631920147660682
79,13,NoInstructions,HighTide,3,2,26.386,0.5954611621046159,0.38749632346192264,0.6275432776393505,0.4055686701243331,1.6224691914182323,0.31101837693374595,0.24251627486294125,0.1264645143704556
80,13,Imitation,LowTide,0,0,10.891,0.9045008606771632,0.37398305243486124,0.9581655633031743,0.3735966275645146,2.2883222002245596,0.38826346252260724,0.10945861190554408,0.047201178919840804
81,13,Imitation,LowTide,1,1,20.484,1.0701926562659938,0.6446909015381859,1.1981377862540896,0.6638156123887865,2.1367799413885673,0.19243696156045165,0.2698572312772065,0.12715604742966383
