user_id,method,tide,lap,tonic_avg,amplitude_avg,amplitude_prefall,amplitude_postfall,peaks_num,peaks_prefall,peaks_postfall,falls_num
10,NoInstructions,LowTide,0,2.482099716653825,0.00012452026882521652,0,0,9,0,0,0
10,NoInstructions,LowTide,1,2.393228107538199,0.0002411405008357605,0,0,20,0,0,0
10,NoInstructions,LowTide,2,2.5712603450840095,0.0001651368493990264,0.0003498097191202786,0.00037974311042348274,11,3,3,1
10,NoInstructions,LowTide,3,2.790324323206036,0.00028000497282952406,0,0,16,0,0,0
10,NoInstructions,HighTide,0,0.7616376407703874,0.00020996952911175553,0,0,26,0,0,0
10,NoInstructions,HighTide,1,0.9773019452606858,0.00023610707032752592,0,0,30,0,0,0
10,NoInstructions,HighTide,2,1.1783089871489605,0.00014197003821993795,0,0,18,0,0,0
10,NoInstructions,HighTide,3,1.275764357850122,0.00027136658867579246,0,0,24,0,0,0
10,Imitation,LowTide,0,1.6047026040050556,0.0002862559057144996,0,0,18,0,0,0
10,Imitation,LowTide,1,1.6491744043536454,0.00028460744617501765,0,0,26,0,0,0
10,Imitation,LowTide,2,1.6839984755582151,0.0003500568851874043,0,0,19,0,0,0
10,Imitation,LowTide,3,1.8990790171343288,0.00023547032489041743,0.00023525955098503795,0.00043440323900620684,30,3,3,1
10,Imitation,HighTide,0,0.9647031175348397,0.00020540286615703554,0,0,36,0,0,0
10,Imitation,HighTide,1,1.1032333629808229,0.00011751909605969637,0,0,17,0,0,0
10,Imitation,HighTide,2,1.244449054672832,0.00018271931913004633,0,0,29,0,0,0
10,Imitation,HighTide,3,1.5503863868784051,0.00017110343330148812,0,0,19,0,0,0
10,Gamification,LowTide,0,2.452702377887522,0.0005706192232979266,0,0,11,0,0,0
10,Gamification,LowTide,1,2.3347601577209955,0.0003609935434268819,0,0,53,0,0,0
10,Gamification,LowTide,2,2.858440619225379,0.00037284692304356565,0.0013259437570436448,0.0022743921023753097,24,6,6,2
10,Gamification,LowTide,3,3.2374729622376597,0.0002306185537194981,0.0011512923434692517,0.0011781867558270953,21,6,6,2
10,Gamification,HighTide,0,1.8542959188343715,0.00031429907584742955,0.0015867281561251566,0.001141876098638475,62,9,9,3
10,Gamification,HighTide,1,2.233853414511576,0.0001926257735672379,0.000393033208156462,0.0003273594235416055,36,3,3,1
10,Gamification,HighTide,2,2.5119765101599523,0.00026767779460757583,0.000368938846192412,0.00041237886747470364,27,3,3,1
10,Gamification,HighTide,3,2.6076962384401927,0.00022292175361642483,0.0005584690604122884,0.0013781734025986787,21,6,6,2
11,NoInstructions,LowTide,0,8.500723567629054,0.0006110484942601308,0.0,0.0004026463660593454,4,3,3,1
11,NoInstructions,LowTide,1,10.278643484993708,0.0006937292771660899,0,0,3,0,0,0
11,NoInstructions,LowTide,2,11.104329953917029,0.00037250248504820324,0,0,1,0,0,0
11,NoInstructions,LowTide,3,11.394309452446194,0.0006880133747027642,0,0,5,0,0,0
11,NoInstructions,HighTide,0,11.805817209828211,0.0011517740780325988,0,0,3,0,0,0
11,NoInstructions,HighTide,1,12.26086319049546,0.0004160293803963512,0,0,2,0,0,0
11,NoInstructions,HighTide,2,12.153624625943564,0.00033359715985183835,0,0,4,0,0,0
11,NoInstructions,HighTide,3,11.593998250730428,0.0004242491495720564,0,0,3,0,0,0
11,Imitation,LowTide,0,11.113035841440254,4.6557249576054256e-05,0,0,1,0,0,0
11,Imitation,LowTide,1,12.215595710093341,4.055668093816609e-05,0,0,3,0,0,0
11,Imitation,LowTide,2,12.88465238913875,0.0005127789809586563,0,0,4,0,0,0
11,Imitation,LowTide,3,11.915267130932708,0.00043537096561834085,0,0,3,0,0,0
11,Imitation,HighTide,0,10.473813383226924,0.000591559967929045,0,0,3,0,0,0
11,Imitation,HighTide,1,11.323687012381763,0.0009039116798032285,0,0,5,0,0,0
11,Imitation,HighTide,2,11.764459111294334,0.0006247014232282288,0,0,6,0,0,0
11,Imitation,HighTide,3,11.278407176674895,0.0004980542985681293,0,0,5,0,0,0
11,Gamification,LowTide,0,11.810198645114411,0.0011081389061767066,0,0,4,0,0,0
11,Gamification,LowTide,1,11.178686910601728,0.00026878211299681114,0,0,13,0,0,0
11,Gamification,LowTide,2,11.27250896268015,0.0005366214398983806,0.0013316465372815408,0.0020528306304958333,5,3,3,1
11,Gamification,LowTide,3,10.811006901015014,0.00021836456942240276,0,0,6,0,0,0
11,Gamification,HighTide,0,11.273747666648843,0.0004335781593983945,0,0,15,0,0,0
11,Gamification,HighTide,1,12.43049600627367,0.0005102705169595209,0.0003416664090760067,0.0026316548459266826,6,6,6,2
11,Gamification,HighTide,2,13.040173847871603,0.000551433523845716,0.0010679666573381816,0.002002346894018417,8,3,3,1
11,Gamification,HighTide,3,12.636980466220596,0.0004974263940805923,0.0007976682428299132,0.001217457724786345,10,6,6,2
12,NoInstructions,LowTide,0,6.0850049122048695,0.0006350907244927593,0,0,6,0,0,0
12,NoInstructions,LowTide,1,6.629314745948995,0.0009430245110925895,0,0,8,0,0,0
12,NoInstructions,LowTide,2,6.514753856585046,0.0013546454270294236,0,0,13,0,0,0
12,NoInstructions,LowTide,3,6.4203439767768815,0.0006700610931618754,0,0,11,0,0,0
12,NoInstructions,HighTide,0,4.105351506795583,0.0014469421907817757,0,0,8,0,0,0
12,NoInstructions,HighTide,1,4.339554700132316,0.0016485102233062435,0,0,9,0,0,0
12,NoInstructions,HighTide,2,4.36052106935032,0.0016792381609112544,0,0,6,0,0,0
