timestamp;foot;position
1643462512529;LeftFoot;0.03894301
1643462513939;RightFoot;0.1199618
1643462515252;LeftFoot;0.1897926
1643462515406;LeftFoot;0.1845523
1643462515572;LeftFoot;0.1844833
1643462515772;LeftFoot;0.1831409
1643462517239;RightFoot;0.1922053
1643462517605;RightFoot;0.1922678
1643462519472;RightFoot;0.242774
1643462521594;RightFoot;0.3970577
1643462522319;LeftFoot;0.4064173
1643462522418;LeftFoot;0.4272243
1643462523334;RightFoot;0.5279897
1643462523586;RightFoot;0.5667105
1643462524185;LeftFoot;0.5846135
1643462524619;LeftFoot;0.6422547
1643462524685;LeftFoot;0.6416866
1643462525417;RightFoot;0.7231308
1643462525551;RightFoot;0.724371
1643462526618;RightFoot;0.7256544
1643462527691;LeftFoot;0.7966252
1643462527913;LeftFoot;0.7958039
1643462528444;RightFoot;0.8308723
1643462528751;RightFoot;0.8884488
1643462529395;RightFoot;0.9366378
1643462529795;LeftFoot;0.9658259
1643462530839;LeftFoot;-0.04785776
1643462531072;LeftFoot;-0.0397892
1643462537761;LeftFoot;0.06488407
1643462538094;LeftFoot;0.07920003
1643462538449;RightFoot;0.07906836
1643462538649;RightFoot;0.0791533
1643462538915;RightFoot;0.07850111
1643462539317;RightFoot;0.1492766
1643462539606;LeftFoot;0.148282
1643462540183;LeftFoot;0.1896446
1643462540450;LeftFoot;0.2103338
1643462541049;RightFoot;0.2095718
1643462541383;RightFoot;0.2752839
1643462542404;LeftFoot;0.3274658
1643462543260;RightFoot;0.3366148
1643462543593;RightFoot;0.4115598
1643462544421;LeftFoot;0.4503576
1643462545195;RightFoot;0.480085
1643462545553;RightFoot;0.5599347
1643462546418;LeftFoot;0.6083312
1643462546618;LeftFoot;0.6243305
1643462547639;RightFoot;0.7002245
1643462548495;LeftFoot;0.7523742
1643462550672;LeftFoot;0.9105448
1643462553333;RightFoot;0.00557557
1643462562162;RightFoot;0.01509718
1643462565793;LeftFoot;0.02774275
1643462566496;RightFoot;0.06281321
1643462567730;RightFoot;0.1198875
1643462568771;LeftFoot;0.1330099
1643462569994;RightFoot;0.2498508
1643462572094;RightFoot;0.402979
1643462572869;LeftFoot;0.42104
1643462572962;LeftFoot;0.4281622
1643462574093;RightFoot;0.5608437
1643462574362;RightFoot;0.5831131
1643462574866;LeftFoot;0.5839558
1643462574962;LeftFoot;0.5944141
1643462575431;LeftFoot;0.6621734
1643462576194;RightFoot;0.7259213
1643462576461;RightFoot;0.7511557
1643462577066;LeftFoot;0.7608059
1643462577565;LeftFoot;0.8282016
1643462577663;LeftFoot;0.8275626
1643462578597;RightFoot;0.9130854
1643462579764;RightFoot;0.9888306
1643462588192;LeftFoot;0.07455438
1643462589761;RightFoot;0.07462615
1643462590160;RightFoot;0.1281624
1643462590294;LeftFoot;0.147451
1643462590328;RightFoot;0.1491026
1643462590694;LeftFoot;0.1470854
1643462591161;RightFoot;0.1843021
1643462591194;LeftFoot;0.1929423
1643462591533;LeftFoot;0.2158057
1643462592096;RightFoot;0.2251871
1643462593294;LeftFoot;0.3316656
1643462593359;LeftFoot;0.3485146
1643462593642;LeftFoot;0.3650376
1643462594160;RightFoot;0.3645114
1643462594661;RightFoot;0.4485733
1643462595395;LeftFoot;0.5028622
1643462595626;LeftFoot;0.5319022
1643462596674;RightFoot;0.6204137
1643462597484;LeftFoot;0.6806854
1643462597704;LeftFoot;0.7060716
1643462598293;RightFoot;0.7054032
1643462598805;RightFoot;0.796387
1643462599578;LeftFoot;0.8453678
